(in /Users/marcelomenezes/ruby_training/newstemplates)
+----------------------------------------------------+-------+-------+--------+
|                  File                              | Lines |  LOC  |  COV   |
|...ort-2.1.0/lib/active_support/core_ext/integer.rb |     7 |     6 | 100.0% |
|.../lib/active_support/core_ext/integer/even_odd.rb |    29 |    17 |  64.7% |
|...b/active_support/core_ext/integer/inflections.rb |    20 |    12 |  50.0% |
|...port-2.1.0/lib/active_support/core_ext/kernel.rb |     5 |     5 | 100.0% |
|.../lib/active_support/core_ext/kernel/agnostics.rb |    11 |     7 |  28.6% |
|...ib/active_support/core_ext/kernel/daemonizing.rb |     7 |     5 |  40.0% |
|...0/lib/active_support/core_ext/kernel/debugger.rb |    13 |    11 |  36.4% |
|.../lib/active_support/core_ext/kernel/reporting.rb |    59 |    31 |  35.5% |
|...0/lib/active_support/core_ext/kernel/requires.rb |    24 |    20 |  85.0% |
|...-2.1.0/lib/active_support/core_ext/load_error.rb |    38 |    34 |  82.4% |
|...port-2.1.0/lib/active_support/core_ext/logger.rb |    16 |    13 | 100.0% |
|...port-2.1.0/lib/active_support/core_ext/module.rb |     8 |     8 | 100.0% |
|...0/lib/active_support/core_ext/module/aliasing.rb |    70 |    24 |  70.8% |
|...rt/core_ext/module/attr_accessor_with_default.rb |    31 |    12 | 100.0% |
|.../active_support/core_ext/module/attr_internal.rb |    32 |    23 | 100.0% |
|...e_support/core_ext/module/attribute_accessors.rb |    58 |    39 | 100.0% |
|...lib/active_support/core_ext/module/delegation.rb |    64 |    14 |  85.7% |
|.../lib/active_support/core_ext/module/inclusion.rb |    30 |    10 |  20.0% |
|....0/lib/active_support/core_ext/module/loading.rb |    23 |    13 |  15.4% |
|...-2.1.0/lib/active_support/core_ext/name_error.rb |    17 |    13 |  84.6% |
|...ort-2.1.0/lib/active_support/core_ext/numeric.rb |     9 |     8 | 100.0% |
|...1.0/lib/active_support/core_ext/numeric/bytes.rb |    44 |    36 |  61.1% |
|...b/active_support/core_ext/numeric/conversions.rb |    19 |    15 |  33.3% |
|....1.0/lib/active_support/core_ext/numeric/time.rb |    91 |    48 |  70.8% |
|...port-2.1.0/lib/active_support/core_ext/object.rb |     4 |     4 | 100.0% |
|...ib/active_support/core_ext/object/conversions.rb |    14 |     8 |  37.5% |
|.../lib/active_support/core_ext/object/extending.rb |    58 |    42 |  23.8% |
|...ve_support/core_ext/object/instance_variables.rb |    74 |    25 |  32.0% |
|...2.1.0/lib/active_support/core_ext/object/misc.rb |    59 |    15 |  86.7% |
|...rt-2.1.0/lib/active_support/core_ext/pathname.rb |     7 |     5 | 100.0% |
|...active_support/core_ext/pathname/clean_within.rb |    14 |    13 |  38.5% |
|...upport-2.1.0/lib/active_support/core_ext/proc.rb |    12 |    12 |  16.7% |
